kappa,mean_resultant_length_rho,estimated_power,sim_reps,kappa_power_crosses_0p8,period_hours,segment_event_count,critical_z_at_alpha,alpha_level,power_simulation_method,analysis_seed,input_survival_path,input_thread_events_path,input_agents_path,input_features_run_id,input_snapshot_id
0.0,0.0,0.04964,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
0.2,0.09950331057391261,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
0.4,0.19610381221799547,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
0.6,0.28726281513133384,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
0.8,0.37107523798814945,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
1.0,0.4463899658965347,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
1.2,0.5127823939579035,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
1.4,0.5704227994330916,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
1.6,0.6198986494454759,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
1.8,0.6620396752730632,1.0,50000,0.2,4.0,220461,2.99400666842901,0.05,noncentral_chi_square_monte_carlo,20260208,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_events.parquet,data_curated/hf_archive/snapshot_20260204-234429Z/agents,run_20260206-145240Z,snapshot_20260204-234429Z
