bin_start_minutes,bin_end_minutes,bin_center_minutes,n_at_risk,n_events,exposure_hours,hazard_per_hour,hazard_per_minute
0.0,0.25,0.125,199000,15332,829.1666666666666,18.490854271356785,0.3081809045226131
0.25,0.5,0.375,183668,370,765.2833333333333,0.4834810636583401,0.008058017727639002
0.5,0.75,0.6250000000000001,183298,230,763.7416666666668,0.3011489487064779,0.005019149145107965
0.75,1.0,0.875,183068,238,762.7833333333332,0.3120152074638933,0.005200253457731554
1.0,1.25,1.125,182830,184,761.7916666666665,0.2415358529781765,0.004025597549636275
1.25,1.5,1.375,182646,178,761.0250000000004,0.2338950757202456,0.003898251262004093
1.5,1.75,1.625,182468,142,760.2833333333332,0.18677247517372914,0.003112874586228819
1.75,2.0,1.875,182326,144,759.6916666666665,0.18955058521549317,0.0031591764202582194
2.0,2.25,2.125,182182,120,759.0916666666665,0.15808367456719108,0.0026347279094531845
2.25,2.5,2.375,182062,93,758.5916666666665,0.12259559930133694,0.0020432599883556156
2.5,2.75,2.625,181969,92,758.2041666666665,0.12133934900999623,0.002022322483499937
2.75,3.0,2.875,181877,82,757.8208333333345,0.1082049956838961,0.0018034165947316018
3.0,3.25,3.125,181795,65,757.4791666666665,0.08581094089496412,0.001430182348249402
3.25,3.5,3.375,181730,62,757.2083333333331,0.0818797116601552,0.0013646618610025868
3.5,3.75,3.625,181668,38,756.9499999999998,0.05020146641125571,0.0008366911068542619
3.75,4.0,3.8749999999999996,181630,43,756.7916666666665,0.05681880746572704,0.0009469801244287839
4.0,4.25,4.125,181587,29,756.6124999999998,0.038328734986535384,0.0006388122497755897
4.25,4.5,4.374999999999999,181558,25,756.4916666666664,0.033047290672953006,0.0005507881778825501
4.5,4.75,4.625,181533,18,756.3874999999998,0.023797326105997264,0.0003966221017666211
4.75,5.0,4.874999999999999,181515,14,756.3124999999999,0.018510866870506574,0.0003085144478417762
5.0,5.25,5.125,181501,13,756.2541666666665,0.01718998793395078,0.0002864997988991797
5.25,5.5,5.374999999999999,181488,13,756.1999999999998,0.017191219254165568,0.00028652032090275946
5.5,5.75,5.625,181475,18,756.1458333333331,0.023804931808789096,0.0003967488634798183
5.75,6.0,5.875,181457,6,756.0708333333357,0.007935764395972574,0.00013226273993287624
6.0,6.25,6.125,181451,5,756.0458333333331,0.00661335567177916,0.00011022259452965266
6.25,6.5,6.375000000000001,181446,3,756.0249999999999,0.0039681227472636495,6.613537912106083e-05
6.5,6.75,6.625,181443,6,756.0124999999998,0.007936376713347995,0.00013227294522246658
6.75,7.0,6.875000000000001,181437,8,755.9874999999998,0.010582185552009791,0.0001763697592001632
7.0,7.25,7.125,181429,10,755.9541666666665,0.013228315208704234,0.00022047192014507057
7.25,7.5,7.375,181419,8,755.9124999999998,0.01058323549352604,0.000176387258225434
7.5,7.749999999999999,7.625,181411,5,755.879166666664,0.006614813875674597,0.00011024689792790995
7.749999999999999,8.0,7.874999999999998,181406,10,755.8583333333357,0.013229992392754332,0.0002204998732125722
8.0,8.25,8.125000000000002,181396,1,755.816666666669,0.001323072173587065,2.2051202893117752e-05
8.25,8.5,8.375,181395,5,755.8124999999973,0.006615397337302596,0.0001102566222883766
8.5,8.75,8.625,181390,4,755.791666666669,0.005292463752136265,8.820772920227108e-05
8.75,9.0,8.875,181386,10,755.7749999999974,0.013231451159405954,0.00022052418599009924
9.0,9.25,9.125,181376,6,755.7333333333357,0.007939308398023969,0.0001323218066337328
9.25,9.5,9.375,181370,2,755.7083333333306,0.002646523680873362,4.4108728014556034e-05
9.5,9.75,9.625,181368,9,755.7000000000023,0.011909487892020607,0.00019849146486701011
9.75,10.0,9.875,181359,8,755.6624999999973,0.01058673680379803,0.00017644561339663382
